order_id,order_timestamp,order_value,num_items,product_category,payment_method,is_cod,customer_age_days,previous_orders,previous_delivered_orders,previous_rto_orders,previous_return_orders,previous_cancellations,customer_rto_rate,orders_last_7_days,orders_last_30_days,avg_previous_order_value,current_vs_avg_order_value,pincode_rto_rate,address_completeness_score,customer_location_type,delivery_attempt_history,order_hour,day_of_week,is_weekend,is_festival_period,is_rto,product_category_encoded,payment_method_encoded,customer_location_type_encoded
00000000-0000-0000-0000-00000ee73485,2024-01-01 00:08:41,3064.0,5,Electronics,COD,1,5,0,0,0,0,0,0.0,1,4,3064.0,1.0,0.275,79.1,TIER1,1.5,0,0,0,0,1,3,1,2
00000000-0000-0000-0000-000002ee3293,2024-01-01 00:22:06,3014.0,6,Sports,CARD,0,707,19,6,12,0,0,0.6316,2,3,3771.0,0.799,0.127,100.0,METRO,1.35,0,0,0,0,0,6,0,0
00000000-0000-0000-0000-00004d925f4d,2024-01-01 00:27:37,470.0,6,Footwear,COD,1,204,0,0,0,0,0,0.0,0,4,470.0,1.0,0.303,59.1,TIER2,1.5,0,0,0,0,0,4,1,3
00000000-0000-0000-0000-00000f484672,2024-01-01 00:39:20,309.0,6,Footwear,CARD,0,66,1,0,0,0,0,0.0,1,2,516.0,0.599,0.271,77.9,TIER1,1.5,0,0,0,0,1,4,0,2
00000000-0000-0000-0000-00006cc058d6,2024-01-01 01:25:32,2450.0,3,Home,UPI,0,50,2,1,0,0,0,0.0,1,3,2727.0,0.898,0.302,63.7,TIER2,1.22,1,0,0,0,0,5,3,3
00000000-0000-0000-0000-00001087e9e6,2024-01-01 02:03:43,1056.0,2,Sports,UPI,0,116,1,1,0,0,0,0.0,1,5,850.0,1.242,0.104,97.4,METRO,1.01,2,0,0,0,0,6,3,0
00000000-0000-0000-0000-00002de5763d,2024-01-01 02:05:30,527.0,1,Apparel,NETBANKING,0,140,3,2,0,0,0,0.0,1,2,838.0,0.629,0.065,75.5,METRO,1.12,2,0,0,0,0,0,2,0
00000000-0000-0000-0000-0000008df855,2024-01-01 02:23:37,554.0,6,Beauty,COD,1,85,1,1,0,0,0,0.0,1,3,646.0,0.858,0.262,58.9,TIER2,1.13,2,0,0,0,1,1,1,3
00000000-0000-0000-0000-00002b99e175,2024-01-01 02:43:11,195.0,1,Beauty,COD,1,710,37,18,18,0,2,0.4865,2,5,346.0,0.564,0.421,58.5,RURAL,1.01,2,0,0,0,0,1,1,1
00000000-0000-0000-0000-00002544b192,2024-01-01 03:03:48,149.0,2,Beauty,CARD,0,82,0,0,0,0,0,0.0,0,1,149.0,1.0,0.42,52.1,RURAL,1.5,3,0,0,0,1,1,0,1
00000000-0000-0000-0000-000049b66401,2024-01-01 03:09:01,3196.0,1,Electronics,UPI,0,412,21,20,1,0,0,0.0476,1,4,3047.0,1.049,0.129,58.0,TIER1,1.33,3,0,0,0,0,3,3,2
00000000-0000-0000-0000-00005d911720,2024-01-01 04:05:50,356.0,2,Books,COD,1,106,3,2,0,0,0,0.0,4,8,250.0,1.424,0.215,85.8,TIER1,1.56,4,0,0,0,1,2,1,2
00000000-0000-0000-0000-00007caec7d9,2024-01-01 04:09:59,937.0,2,Apparel,CARD,0,851,17,13,4,0,0,0.2353,2,4,900.0,1.041,0.252,49.6,TIER2,1.27,4,0,0,0,0,0,0,3
00000000-0000-0000-0000-0000041ccdca,2024-01-01 04:26:50,4464.0,1,Home,UPI,0,187,15,13,1,0,0,0.0667,4,7,5894.0,0.757,0.083,71.2,METRO,1.17,4,0,0,0,0,5,3,0
00000000-0000-0000-0000-000077bfd803,2024-01-01 04:50:58,966.0,6,Home,UPI,0,433,8,8,0,1,1,0.0,0,2,1331.0,0.726,0.273,72.6,TIER2,1.01,4,0,0,0,0,5,3,3
00000000-0000-0000-0000-00004233a3f2,2024-01-01 04:52:39,4391.0,1,Electronics,COD,1,124,0,0,0,0,0,0.0,2,4,4391.0,1.0,0.064,81.2,METRO,1.5,4,0,0,0,0,3,1,0
00000000-0000-0000-0000-00006385bd72,2024-01-01 04:58:51,575.0,1,Apparel,UPI,0,261,0,0,0,0,0,0.0,2,6,575.0,1.0,0.186,76.9,TIER1,1.5,4,0,0,0,0,0,3,2
00000000-0000-0000-0000-000003e917d0,2024-01-01 05:01:10,669.0,5,Beauty,COD,1,138,4,4,0,0,1,0.0,0,3,864.0,0.774,0.193,60.0,TIER1,1.42,5,0,0,0,0,1,1,2
00000000-0000-0000-0000-000056094a58,2024-01-01 05:08:06,2444.0,5,Home,UPI,0,159,1,0,0,0,0,0.0,1,2,3596.0,0.68,0.17,83.1,TIER1,1.5,5,0,0,0,0,5,3,2
00000000-0000-0000-0000-0000038a025c,2024-01-01 05:12:15,152.0,4,Books,UPI,0,91,4,4,0,0,0,0.0,1,2,229.0,0.664,0.213,79.6,TIER2,1.62,5,0,0,0,0,2,3,3
00000000-0000-0000-0000-000044cb8bae,2024-01-01 05:34:40,723.0,2,Sports,UPI,0,70,0,0,0,0,0,0.0,1,5,723.0,1.0,0.199,63.3,TIER1,1.5,5,0,0,0,0,6,3,2
00000000-0000-0000-0000-000047e83045,2024-01-01 05:50:13,3454.0,4,Home,COD,1,488,19,19,0,0,0,0.0,1,3,2592.0,1.333,0.383,74.0,TIER2,1.65,5,0,0,0,0,5,1,3
00000000-0000-0000-0000-00006739abd1,2024-01-01 06:06:50,833.0,3,Apparel,CARD,0,17,1,0,0,0,0,0.0,1,4,793.0,1.05,0.227,49.4,TIER2,1.5,6,0,0,0,1,0,0,3
